Species
Nasua_narica
Sarcophilus_harrisii
Phataginus_tricuspis
Galeopterus_variegatus
Condylura_cristata
Dasypus_novemcinctus
Ailuropoda_melanoleuca
Macropus_giganteus
Myrmecophaga_tridactyla
Bradypus_variegatus
